time,distance,position,state,act_mode,SOC,action
3.2,270.0,13,0,0,0.22950000000000004,-1
3.25,275.0,13,0,0,0.22950000000000004,-1
3.3,280.0,13,0,0,0.22950000000000004,-1
3.35,285.0,13,0,0,0.22950000000000004,-1
3.4,290.0,13,0,0,0.22950000000000004,-1
3.45,295.0,14,0,0,0.22950000000000004,-1
3.5,295.0,14,2,7,0.736,0.642
3.55,295.0,14,2,7,0.736,0.642
3.6,295.0,14,2,7,0.736,0.642
3.65,295.0,14,2,7,0.736,0.642
3.7,295.0,14,2,7,0.736,0.642
3.75,295.0,14,2,7,0.736,0.642
3.8,295.0,14,2,7,0.736,0.642
3.85,295.0,14,2,7,0.736,0.642
3.9,295.0,14,2,7,0.736,0.642
3.95,295.0,14,2,7,0.736,0.642
4.0,295.0,14,2,7,0.736,0.642
4.05,295.0,14,2,7,0.736,0.642
4.1,295.0,14,2,7,0.736,0.642
4.15,295.0,14,2,7,0.736,0.642
4.2,295.0,14,2,7,0.736,0.642
4.25,295.0,14,2,7,0.736,0.642
4.3,295.0,14,2,7,0.736,0.642
4.35,295.0,14,2,7,0.736,0.642
4.4,295.0,14,2,7,0.736,0.642
4.45,295.0,14,2,7,0.736,0.642
4.5,295.0,14,2,7,0.736,0.642
4.55,295.0,14,2,7,0.736,0.642
4.6,295.0,14,2,7,0.736,0.642
4.65,295.0,14,2,7,0.736,0.642
4.7,295.0,14,2,7,0.736,0.642
4.75,295.0,14,2,7,0.736,0.642
4.8,295.0,14,2,7,0.736,0.642
4.85,295.0,14,2,7,0.736,0.642
4.9,295.0,14,2,7,0.736,0.642
4.95,295.0,14,2,7,0.736,0.642
5.0,295.0,14,2,7,0.736,0.642
5.05,295.0,14,2,7,0.736,0.642
5.1,295.0,14,2,7,0.736,0.642
5.15,295.0,14,2,7,0.736,0.642
5.2,295.0,15,0,0,0.736,-1
5.25,300.0,15,0,0,0.736,-1
5.3,305.0,15,0,0,0.736,-1
5.35,310.0,15,0,0,0.736,-1
5.4,315.0,15,0,0,0.736,-1
5.45,320.0,15,0,0,0.736,-1
5.5,325.0,15,0,0,0.736,-1
5.55,330.0,15,0,0,0.736,-1
5.6,335.0,15,0,0,0.736,-1
5.65,340.0,15,0,0,0.736,-1
5.7,345.0,15,0,0,0.736,-1
5.75,350.0,16,0,0,0.736,-1
5.8,355.0,17,0,0,0.63725,-1
5.85,360.0,17,0,0,0.63725,-1
5.9,365.0,17,0,0,0.63725,-1
5.95,370.0,17,0,0,0.63725,-1
6.0,375.0,17,0,0,0.63725,-1
6.05,380.0,17,0,0,0.63725,-1
6.1,385.0,17,0,0,0.63725,-1
6.15,390.0,18,0,0,0.63725,-1
6.2,395.0,19,0,0,0.59875,-1
6.25,400.0,19,0,0,0.59875,-1
6.3,405.0,19,0,0,0.59875,-1
6.35,410.0,20,0,0,0.59875,-1
6.4,415.0,21,0,0,0.509,-1
6.45,420.0,21,0,0,0.509,-1
6.5,425.0,21,0,0,0.509,-1
6.55,430.0,21,0,0,0.509,-1
6.6,435.0,21,0,0,0.509,-1
6.65,440.0,21,0,0,0.509,-1
6.7,445.0,21,0,0,0.509,-1
6.75,450.0,22,0,0,0.509,-1
6.8,455.0,23,0,0,0.44075000000000003,-1
6.85,460.0,23,0,0,0.44075000000000003,-1
6.9,465.0,23,0,0,0.44075000000000003,-1
6.95,470.0,23,0,0,0.44075000000000003,-1
7.0,475.0,23,0,0,0.44075000000000003,-1
7.05,480.0,24,0,0,0.44075000000000003,-1
7.1,485.0,25,0,0,0.3345,-1
7.15,490.0,25,0,0,0.3345,-1
7.2,495.0,25,0,0,0.3345,-1
7.25,500.0,25,0,0,0.3345,-1
7.3,505.0,25,0,0,0.3345,-1
7.35,510.0,25,0,0,0.3345,-1
7.4,515.0,25,0,0,0.3345,-1
7.45,520.0,25,0,0,0.3345,-1
7.5,525.0,26,0,0,0.3345,-1
