EV,Waiting_time,Charging_time,Total,Reward
0,0,1.0074999999999996,1.0074999999999996,-1.5074999999999996
1,0,1.3399999999999999,1.3399999999999999,-1.3399999999999999
2,0,1.5149999999999997,1.5149999999999997,-1.5149999999999997
3,0,1.861875,1.861875,-1.861875
4,0,1.1781249999999996,1.1781249999999996,-1.1781249999999996
5,0,1.428125,1.428125,-1.428125
6,0,1.203125,1.203125,-1.203125
7,0,1.7831249999999998,1.7831249999999998,-1.7831249999999998
8,0,1.14,1.14,-1.14
9,0,1.0012499999999995,1.0012499999999995,-1.0012499999999995
10,0,1.386875,1.386875,-1.386875
11,0,0.9531249999999998,0.9531249999999998,-0.9531249999999998
12,0,1.1512499999999997,1.1512499999999997,-1.1512499999999997
13,0,1.2150000000000003,1.2150000000000003,-1.2150000000000003
14,0.3262499999999994,1.2012500000000002,1.5274999999999996,-1.5274999999999996
15,0,1.258125,1.258125,-1.258125
16,0,0.8031249999999996,0.8031249999999996,-1.3031249999999996
17,0,1.211875,1.211875,-1.211875
18,0,0.9868749999999998,0.9868749999999998,-0.9868749999999998
19,0.13000000000000006,1.0781249999999998,1.208125,-1.208125
