time,distance,position,state,act_mode,SOC,action
5.7,435.0,21,0,0,0.3544999999999997,-1
5.75,440.0,21,0,0,0.3544999999999997,-1
5.8,445.0,21,0,0,0.3544999999999997,-1
5.85,450.0,22,0,0,0.3544999999999997,-1
5.9,455.0,23,0,0,0.2862499999999997,-1
5.95,460.0,23,0,0,0.2862499999999997,-1
6.0,465.0,23,0,0,0.2862499999999997,-1
6.05,470.0,23,0,0,0.2862499999999997,-1
6.1,475.0,23,0,0,0.2862499999999997,-1
6.15,480.0,24,0,0,0.2862499999999997,-1
6.2,485.0,25,0,0,0.17999999999999972,-1
6.25,490.0,25,0,0,0.17999999999999972,-1
6.3,495.0,25,0,0,0.17999999999999972,-1
6.35,500.0,25,0,0,0.17999999999999972,-1
6.4,505.0,25,0,0,0.17999999999999972,-1
6.45,510.0,25,0,0,0.17999999999999972,-1
6.5,515.0,25,0,0,0.17999999999999972,-1
6.55,520.0,25,0,0,0.17999999999999972,-1
6.6,525.0,26,0,0,0.17999999999999972,-1
