time,distance,position,state,act_mode,SOC,action
0.05,0,0,0,0,0.89,-1
0.1,0,0,0,0,0.89,-1
0.15,0,0,0,0,0.89,-1
0.2,0,0,0,0,0.89,-1
0.25,0,0,0,0,0.89,-1
0.3,0,0,0,0,0.89,-1
0.35,0,0,0,0,0.89,-1
0.4,0,0,0,0,0.89,-1
0.45,0,0,0,0,0.89,-1
0.5,0,0,0,0,0.89,-1
0.55,5.0,1,0,0,0.8465,-1
0.6,10.0,1,0,0,0.8465,-1
0.65,15.0,1,0,0,0.8465,-1
0.7,20.0,2,0,0,0.8465,-1
0.75,25.0,3,0,0,0.74,-1
0.8,30.0,3,0,0,0.74,-1
0.85,35.0,3,0,0,0.74,-1
0.9,40.0,3,0,0,0.74,-1
0.95,45.0,3,0,0,0.74,-1
1.0,50.0,3,0,0,0.74,-1
1.05,55.0,3,0,0,0.74,-1
1.1,60.0,3,0,0,0.74,-1
1.15,65.0,4,0,0,0.74,-1
1.2,70.0,5,0,0,0.661,-1
1.25,75.0,5,0,0,0.661,-1
1.3,80.0,5,0,0,0.661,-1
1.35,85.0,5,0,0,0.661,-1
1.4,90.0,5,0,0,0.661,-1
1.45,95.0,5,0,0,0.661,-1
1.5,100.0,6,0,0,0.661,-1
1.55,105.0,7,0,0,0.56575,-1
1.6,110.0,7,0,0,0.56575,-1
1.65,115.0,7,0,0,0.56575,-1
1.7,120.0,7,0,0,0.56575,-1
1.75,125.0,7,0,0,0.56575,-1
1.8,130.0,7,0,0,0.56575,-1
1.85,135.0,7,0,0,0.56575,-1
1.9,140.0,8,0,0,0.56575,-1
1.95,145.0,9,0,0,0.4475,-1
2.0,150.0,9,0,0,0.4475,-1
2.05,155.0,9,0,0,0.4475,-1
2.1,160.0,9,0,0,0.4475,-1
2.15,165.0,9,0,0,0.4475,-1
2.2,170.0,9,0,0,0.4475,-1
2.25,175.0,9,0,0,0.4475,-1
2.3,180.0,9,0,0,0.4475,-1
2.35,185.0,9,0,0,0.4475,-1
2.4,190.0,10,0,0,0.4475,-1
2.45,195.0,11,0,0,0.318,-1
2.5,200.0,11,0,0,0.318,-1
2.55,205.0,11,0,0,0.318,-1
2.6,210.0,11,0,0,0.318,-1
2.65,215.0,11,0,0,0.318,-1
2.7,220.0,11,0,0,0.318,-1
2.75,225.0,11,0,0,0.318,-1
2.8,230.0,11,0,0,0.318,-1
2.85,235.0,11,0,0,0.318,-1
2.9,240.0,11,0,0,0.318,-1
2.95,245.0,12,0,0,0.318,-1
3.0,245.0,12,2,6,0.4895,0.29
3.05,245.0,12,2,6,0.4895,0.29
3.1,245.0,12,2,6,0.4895,0.29
3.15,245.0,12,2,6,0.4895,0.29
3.2,245.0,12,2,6,0.4895,0.29
3.25,245.0,12,2,6,0.4895,0.29
3.3,245.0,12,2,6,0.4895,0.29
3.35,245.0,12,2,6,0.4895,0.29
3.4,245.0,12,2,6,0.4895,0.29
3.45,245.0,12,2,6,0.4895,0.29
3.5,245.0,12,2,6,0.4895,0.29
3.55,245.0,12,2,6,0.4895,0.29
3.6,245.0,12,2,6,0.4895,0.29
3.65,245.0,12,2,6,0.4895,0.29
3.7,245.0,13,0,0,0.4895,-1
3.75,250.0,13,0,0,0.4895,-1
3.8,255.0,13,0,0,0.4895,-1
3.85,260.0,13,0,0,0.4895,-1
3.9,265.0,13,0,0,0.4895,-1
3.95,270.0,13,0,0,0.4895,-1
4.0,275.0,13,0,0,0.4895,-1
4.05,280.0,13,0,0,0.4895,-1
4.1,285.0,13,0,0,0.4895,-1
4.15,290.0,13,0,0,0.4895,-1
4.2,295.0,14,0,0,0.4895,-1
4.25,300.0,15,0,0,0.354,-1
4.3,305.0,15,0,0,0.354,-1
4.35,310.0,15,0,0,0.354,-1
4.4,315.0,15,0,0,0.354,-1
4.45,320.0,15,0,0,0.354,-1
4.5,325.0,15,0,0,0.354,-1
4.55,330.0,15,0,0,0.354,-1
4.6,335.0,15,0,0,0.354,-1
4.65,340.0,15,0,0,0.354,-1
4.7,345.0,15,0,0,0.354,-1
4.75,350.0,16,0,0,0.354,-1
4.8,355.0,17,0,0,0.25525,-1
4.85,360.0,17,0,0,0.25525,-1
4.9,365.0,17,0,0,0.25525,-1
4.95,370.0,17,0,0,0.25525,-1
5.0,375.0,17,0,0,0.25525,-1
5.05,380.0,17,0,0,0.25525,-1
5.1,385.0,17,0,0,0.25525,-1
5.15,390.0,18,0,0,0.25525,-1
5.2,395.0,19,0,0,0.21674999999999997,-1
5.25,400.0,19,0,0,0.21674999999999997,-1
5.3,405.0,19,0,0,0.21674999999999997,-1
5.35,410.0,20,0,0,0.21674999999999997,-1
5.4,415.0,21,0,0,0.12699999999999997,-1
5.45,420.0,21,0,0,0.12699999999999997,-1
5.5,425.0,21,0,0,0.12699999999999997,-1
5.55,430.0,21,0,0,0.12699999999999997,-1
5.6,435.0,21,0,0,0.12699999999999997,-1
5.65,440.0,21,0,0,0.12699999999999997,-1
5.7,445.0,21,0,0,0.12699999999999997,-1
5.75,450.0,22,0,0,0.12699999999999997,-1
5.8,455.0,23,0,0,0.05874999999999998,-1
5.85,460.0,23,0,0,0.05874999999999998,-1
5.9,465.0,23,0,0,0.05874999999999998,-1
5.95,470.0,23,0,0,0.05874999999999998,-1
6.0,475.0,23,0,0,0.05874999999999998,-1
6.05,480.0,24,0,0,0.05874999999999998,-1
6.1,480.0,24,2,12,0.21649999999999997,0.264
6.15,480.0,24,2,12,0.21649999999999997,0.264
6.2,480.0,24,2,12,0.21649999999999997,0.264
6.25,480.0,24,2,12,0.21649999999999997,0.264
6.3,480.0,24,2,12,0.21649999999999997,0.264
6.35,480.0,24,2,12,0.21649999999999997,0.264
6.4,480.0,24,2,12,0.21649999999999997,0.264
6.45,480.0,24,2,12,0.21649999999999997,0.264
6.5,480.0,24,2,12,0.21649999999999997,0.264
6.55,480.0,24,2,12,0.21649999999999997,0.264
6.6,480.0,24,2,12,0.21649999999999997,0.264
6.65,480.0,24,2,12,0.21649999999999997,0.264
6.7,480.0,24,2,12,0.21649999999999997,0.264
6.75,480.0,25,0,0,0.21649999999999997,-1
6.8,485.0,25,0,0,0.21649999999999997,-1
6.85,490.0,25,0,0,0.21649999999999997,-1
6.9,495.0,25,0,0,0.21649999999999997,-1
6.95,500.0,25,0,0,0.21649999999999997,-1
7.0,505.0,25,0,0,0.21649999999999997,-1
7.05,510.0,25,0,0,0.21649999999999997,-1
7.1,515.0,25,0,0,0.21649999999999997,-1
7.15,520.0,25,0,0,0.21649999999999997,-1
7.2,525.0,26,0,0,0.21649999999999997,-1
