time,CS0_waiting_num,CS0_charging_num,CS0_waiting_time,CS1_waiting_num,CS1_charging_num,CS1_waiting_time,CS2_waiting_num,CS2_charging_num,CS2_waiting_time,CS3_waiting_num,CS3_charging_num,CS3_waiting_time,CS4_waiting_num,CS4_charging_num,CS4_waiting_time,CS5_waiting_num,CS5_charging_num,CS5_waiting_time,CS6_waiting_num,CS6_charging_num,CS6_waiting_time,CS7_waiting_num,CS7_charging_num,CS7_waiting_time,CS8_waiting_num,CS8_charging_num,CS8_waiting_time,CS9_waiting_num,CS9_charging_num,CS9_waiting_time,CS10_waiting_num,CS10_charging_num,CS10_waiting_time,CS11_waiting_num,CS11_charging_num,CS11_waiting_time
2.4,0,0,0,0,1,0,1,2,0.5474999999999997,1,3,1.085625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.45,0,0,0,0,1,0,0,3,0.49749999999999966,1,3,1.035625,1,3,1.8312500000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,1,0,0,3,0.4474999999999997,1,3,0.985625,1,3,1.7812500000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.55,0,0,0,0,1,0,0,3,0.3974999999999997,1,3,0.9356249999999999,1,3,1.7312500000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6,0,0,0,0,1,0,0,3,0.3474999999999997,1,3,0.8856249999999999,1,3,1.6812500000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.65,0,0,0,0,1,0,0,3,0.2974999999999997,1,3,0.8356249999999998,1,3,1.6312500000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7,0,0,0,0,1,0,0,3,0.24749999999999972,1,3,0.7856249999999998,1,3,1.5812500000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.75,0,0,0,0,0,0,0,3,0.19749999999999973,1,3,0.7356249999999998,1,3,1.5312500000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.8,0,0,0,0,0,0,0,3,0.14749999999999974,1,3,0.6856249999999997,1,3,1.4812500000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.85,0,0,0,0,0,0,0,3,0.09749999999999974,1,3,0.6356249999999997,1,3,1.4312500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9,0,0,0,0,0,0,0,3,0.04749999999999974,1,3,0.5856249999999996,1,3,1.38125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.95,0,0,0,0,0,0,0,2,0,1,3,0.5356249999999996,1,3,1.33125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,0,2,0,1,3,0.4856249999999996,1,3,1.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.05,0,0,0,0,0,0,0,2,0,1,3,0.4356249999999996,2,3,1.45625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,0,0,0,0,0,0,0,2,0,1,3,0.3856249999999996,2,3,1.40625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.15,0,0,0,0,0,0,0,2,0,1,3,0.3356249999999996,2,3,1.35625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2,0,0,0,0,0,0,0,2,0,1,3,0.28562499999999963,2,3,1.30625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.25,0,0,0,0,0,0,0,2,0,0,3,0.23562499999999964,2,3,1.2562499999999999,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3,0,0,0,0,0,0,0,1,0,0,3,0.18562499999999965,2,3,1.2062499999999998,0,3,1.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.35,0,0,0,0,0,0,0,1,0,0,3,0.13562499999999966,2,3,1.1562499999999998,0,3,1.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4,0,0,0,0,0,0,0,1,0,0,3,0.08562499999999966,2,3,1.1062499999999997,0,3,1.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.45,0,0,0,0,0,0,0,1,0,0,3,0.03562499999999966,2,3,1.0562499999999997,0,3,1.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,1,0,0,1,0,2,3,1.0062499999999996,0,3,1.4549999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
