EV,Waiting_time,Charging_time,Total,Reward
0,1.28125,2.106250000000001,3.387500000000001,-3.387500000000001
1,0,3.3400000000000007,3.3400000000000007,-3.3400000000000007
2,0,3.761875000000001,3.761875000000001,-3.761875000000001
3,0,4.057500000000001,4.057500000000001,-4.057500000000001
4,0,3.5618750000000006,3.5618750000000006,-3.5618750000000006
5,0,3.6868750000000015,3.6868750000000015,-3.6868750000000015
6,0,3.683125000000001,3.683125000000001,-3.683125000000001
7,0,4.1325,4.1325,-4.1325
8,1.7562500000000003,1.8062500000000004,3.562500000000001,-3.562500000000001
9,0,3.433125000000001,3.433125000000001,-3.433125000000001
10,1.465000000000001,2.4312500000000012,3.896250000000002,-3.896250000000002
11,0.4725,3.215000000000001,3.687500000000001,-3.687500000000001
12,0.8562499999999995,3.740000000000001,4.59625,-5.09625
13,1.060625,1.9531250000000004,3.0137500000000004,-3.0137500000000004
14,0.15999999999999998,3.9825000000000013,4.142500000000001,-4.142500000000001
15,0,2.1550000000000002,2.1550000000000002,-2.1550000000000002
16,0,3.8031250000000005,3.8031250000000005,-3.8031250000000005
17,0.5474999999999997,1.9531250000000004,2.5006250000000003,-3.0006250000000003
18,0,3.083125,3.083125,-4.083125
19,0,3.3400000000000007,3.3400000000000007,-3.3400000000000007
