EV,Waiting_time,Charging_time,Total,Reward
0,0,1.0531249999999996,1.0531249999999996,-2.0531249999999996
1,0,1.3399999999999999,1.3399999999999999,-1.3399999999999999
2,0,1.7618749999999999,1.7618749999999999,-1.7618749999999999
3,0,1.4868750000000002,1.4868750000000002,-1.4868750000000002
4,0,1.1800000000000002,1.1800000000000002,-1.1800000000000002
5,0,1.428125,1.428125,-1.428125
6,0.03999999999999973,1.5899999999999996,1.6299999999999994,-1.6299999999999994
7,0,1.43,1.43,-1.43
8,0.07374999999999912,1.5149999999999995,1.5887499999999986,-1.5887499999999986
9,0,1.0781249999999996,1.0781249999999996,-2.0781249999999996
10,0,1.2074999999999998,1.2074999999999998,-1.2074999999999998
11,0,1.078125,1.078125,-2.078125
12,0,1.3118750000000001,1.3118750000000001,-1.3118750000000001
13,0.07999999999999967,1.33,1.4099999999999997,-1.4099999999999997
14,0,1.2325,1.2325,-1.2325
15,0.07624999999999975,1.2012499999999997,1.2774999999999994,-1.2774999999999994
16,0.08999999999999996,1.1899999999999997,1.2799999999999996,-1.2799999999999996
17,0.4012499999999998,1.3762499999999998,1.7774999999999994,-1.7774999999999994
18,0.5443749999999996,1.103125,1.6474999999999997,-2.6475
19,0.029999999999999666,1.2049999999999998,1.2349999999999994,-1.2349999999999994
