time,CS1_waiting_num,CS1_charging_num,CS1_waiting_time,CS2_waiting_num,CS2_charging_num,CS2_waiting_time,CS3_waiting_num,CS3_charging_num,CS3_waiting_time,CS4_waiting_num,CS4_charging_num,CS4_waiting_time,CS5_waiting_num,CS5_charging_num,CS5_waiting_time,CS6_waiting_num,CS6_charging_num,CS6_waiting_time,CS7_waiting_num,CS7_charging_num,CS7_waiting_time,CS8_waiting_num,CS8_charging_num,CS8_waiting_time,CS0_waiting_num,CS0_charging_num,CS0_waiting_time,CS9_waiting_num,CS9_charging_num,CS9_waiting_time
2.05,0,0,0.5041666666666658,0,2,0.8749999999999989,1,2,1.1999999999999984,0,2,1.0399999999999996,0,0,0.0,0,0,0.5249999999999988,0,2,0.3612499999999992,1,2,1.19125,0.0,0.0,7.511666666666708,4.0,4.0,0.0
2.06,0,0,0.49416666666666575,0,2,0.8649999999999989,1,2,1.1899999999999984,0,2,1.0299999999999996,0,0,0.0,0,0,0.5149999999999988,0,2,0.3512499999999992,1,2,1.18125,0.0,0.0,7.501666666666708,4.0,4.0,0.0
2.07,0,0,0.48416666666666575,0,2,0.8549999999999989,1,2,1.1799999999999984,0,2,1.0199999999999996,0,0,0.0,0,0,0.5049999999999988,0,2,0.34124999999999917,1,2,1.17125,0.0,0.0,7.491666666666708,4.0,4.0,0.0
2.08,0,0,0.47416666666666574,0,2,0.8449999999999989,1,2,1.1699999999999984,0,1,1.0099999999999996,0,0,0.0,0,0,0.4949999999999988,0,2,0.33124999999999916,1,2,1.16125,0.0,0.0,7.481666666666708,4.0,4.0,0.0
2.09,0,0,0.46416666666666573,0,2,0.8349999999999989,1,2,1.1599999999999984,0,1,0.9999999999999996,0,0,0.0,0,0,0.48499999999999877,0,2,0.32124999999999915,1,2,1.1512499999999999,0.0,0.0,7.471666666666708,3.0,5.0,0.0
2.1,0,0,0.4541666666666657,0,2,0.8249999999999988,1,2,1.1499999999999984,0,1,0.9899999999999995,0,0,0.0,0,0,0.47499999999999876,0,2,0.31124999999999914,1,2,1.1412499999999999,0.0,0.0,7.461666666666709,3.0,5.0,0.0
2.11,0,0,0.4441666666666657,0,2,0.8149999999999988,1,1,1.1399999999999983,0,1,0.9799999999999995,0,0,0.0,0,0,0.46499999999999875,0,2,0.30124999999999913,1,2,1.1312499999999999,0.0,0.0,7.451666666666709,3.0,5.0,0.0
2.12,0,0,0.4341666666666657,0,2,0.8049999999999988,0,2,1.1299999999999983,0,1,0.9699999999999995,0,0,0.0,0,0,0.45499999999999874,0,2,0.2912499999999991,1,2,1.1212499999999999,0.0,0.0,7.441666666666709,3.0,5.0,0.0
2.13,0,0,0.4241666666666657,0,2,0.7949999999999988,0,2,1.1199999999999983,0,1,0.9599999999999995,0,0,0.0,0,0,0.44499999999999873,0,2,0.2812499999999991,1,2,1.1112499999999998,0.0,0.0,7.431666666666709,3.0,5.0,0.0
2.14,0,0,0.4141666666666657,0,2,0.7849999999999988,0,2,1.1099999999999983,0,1,0.9499999999999995,0,0,0.0,0,0,0.4349999999999987,0,2,0.2712499999999991,1,2,1.1012499999999998,0.0,0.0,7.4216666666667095,3.0,6.0,0.0
