EV,Waiting_time,Charging_time,Total,Reward
0,0.0,0.3999999999999997,3.2199999999999998,-3.2199999999999998
1,0.0,0.15625,2.98625,-2.98625
2,0.0,0.7124999999999999,3.5925000000000002,-3.5925000000000002
3,0.0,0.2562500000000001,3.0862499999999997,-3.0862499999999997
4,0.0,0.5437499999999998,3.2737499999999993,-3.2737499999999993
5,0.0,0.43125000000000036,3.301250000000001,-3.301250000000001
6,0.0,0.7437500000000002,3.47375,-3.47375
7,0,0.23125000000000007,3.0612500000000002,-3.0612500000000002
8,0.0,0.4999999999999998,3.2299999999999995,-3.2299999999999995
9,0,0.21250000000000002,3.0925000000000002,-3.0925000000000002
10,0.0,1.0,3.87,-3.87
11,0.0,0.5312500000000002,3.26125,-3.26125
12,0,0.8374999999999999,3.7175000000000002,-3.7175000000000002
13,0.0,0.9124999999999995,3.7924999999999995,-3.7924999999999995
14,0.0,0.6312499999999999,3.4812499999999993,-3.4812499999999993
15,0.0,0.15000000000000013,3.0,-3.0
16,0,0.4374999999999998,3.1674999999999995,-3.1674999999999995
17,0.0,0.47499999999999976,3.3449999999999998,-3.3449999999999998
18,0.0,0.7624999999999995,3.582499999999999,-3.582499999999999
19,0,0.3500000000000003,3.1800000000000006,-3.1800000000000006
20,0.0,0.46250000000000013,3.2925000000000004,-3.2925000000000004
21,0,0.4437500000000003,3.1737499999999996,-3.1737499999999996
22,0,0,2.7299999999999995,-2.7299999999999995
23,0.0,0.9312499999999999,3.80125,-3.80125
24,0.0,0.6562499999999997,3.3862499999999995,-3.3862499999999995
25,0.049999999999999475,0.46874999999999967,3.248749999999999,-3.248749999999999
26,0,0.53125,3.4012500000000006,-3.4012500000000006
27,0.2649999999999997,0.2999999999999998,3.2949999999999995,-3.2949999999999995
28,0.0,0.6562500000000002,3.38625,-3.38625
29,0.0,0.9749999999999999,3.7049999999999996,-3.7049999999999996
