action
13.0
20.0
8.0
18.0
4.0
20.0
17.0
9.0
8.0
6.0
0.0
20.0
12.0
1.0
20.0
20.0
20.0
19.0
13.0
20.0
19.0
6.0
0.0
6.0
20.0
7.0
19.0
17.0
15.0
7.0
1.0
7.0
10.0
19.0
11.0
20.0
7.0
18.0
3.0
20.0
20.0
0.0
20.0
13.0
5.0
19.0
1.0
20.0
16.0
20.0
20.0
20.0
7.0
11.0
20.0
12.0
8.0
20.0
20.0
13.0
6.0
4.0
20.0
20.0
3.0
12.0
15.0
7.0
15.0
9.0
15.0
14.0
4.0
20.0
17.0
13.0
11.0
20.0
6.0
20.0
20.0
11.0
13.0
14.0
0.0
18.0
13.0
13.0
15.0
13.0
1.0
20.0
14.0
20.0
5.0
1.0
8.0
4.0
20.0
20.0
20.0
18.0
1.0
20.0
0.0
19.0
13.0
13.0
11.0
19.0
17.0
7.0
20.0
0.0
3.0
20.0
6.0
4.0
20.0
20.0
20.0
9.0
9.0
20.0
20.0
4.0
20.0
5.0
20.0
20.0
0.0
12.0
1.0
14.0
10.0
10.0
20.0
4.0
10.0
20.0
4.0
20.0
20.0
20.0
20.0
4.0
12.0
4.0
0.0
20.0
15.0
11.0
18.0
19.0
13.0
3.0
5.0
20.0
1.0
20.0
20.0
5.0
18.0
3.0
7.0
12.0
20.0
0.0
16.0
15.0
20.0
11.0
20.0
20.0
20.0
3.0
20.0
11.0
20.0
20.0
20.0
12.0
13.0
10.0
7.0
4.0
20.0
20.0
20.0
15.0
6.0
15.0
20.0
14.0
13.0
20.0
1.0
7.0
20.0
19.0
2.0
11.0
17.0
11.0
7.0
0.0
2.0
16.0
1.0
9.0
10.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
18.0
20.0
17.0
20.0
0.0
7.0
9.0
17.0
9.0
20.0
3.0
20.0
11.0
20.0
5.0
8.0
20.0
15.0
20.0
12.0
8.0
20.0
8.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
12.0
8.0
13.0
19.0
19.0
9.0
15.0
20.0
2.0
20.0
20.0
20.0
7.0
20.0
20.0
6.0
7.0
20.0
20.0
20.0
7.0
18.0
20.0
6.0
1.0
13.0
12.0
5.0
20.0
20.0
18.0
11.0
9.0
20.0
16.0
6.0
20.0
6.0
16.0
20.0
20.0
20.0
2.0
13.0
10.0
4.0
11.0
5.0
1.0
20.0
20.0
6.0
20.0
20.0
0.0
14.0
14.0
17.0
5.0
20.0
20.0
20.0
1.0
20.0
10.0
20.0
13.0
19.0
13.0
5.0
20.0
0.0
20.0
5.0
1.0
1.0
13.0
10.0
6.0
2.0
8.0
4.0
20.0
20.0
20.0
20.0
20.0
8.0
2.0
20.0
16.0
18.0
15.0
20.0
13.0
20.0
20.0
13.0
20.0
2.0
20.0
20.0
7.0
7.0
14.0
14.0
20.0
9.0
20.0
20.0
0.0
2.0
18.0
4.0
17.0
0.0
15.0
20.0
7.0
11.0
18.0
20.0
6.0
20.0
20.0
5.0
13.0
19.0
20.0
9.0
8.0
8.0
5.0
20.0
5.0
15.0
13.0
20.0
2.0
8.0
3.0
12.0
1.0
7.0
2.0
20.0
20.0
20.0
18.0
0.0
16.0
20.0
1.0
20.0
15.0
13.0
5.0
4.0
20.0
20.0
20.0
8.0
20.0
15.0
20.0
20.0
12.0
20.0
17.0
9.0
20.0
15.0
5.0
20.0
17.0
20.0
12.0
8.0
0.0
4.0
17.0
9.0
6.0
2.0
8.0
20.0
20.0
20.0
11.0
9.0
13.0
0.0
3.0
19.0
15.0
7.0
19.0
3.0
12.0
20.0
18.0
9.0
13.0
3.0
20.0
5.0
2.0
14.0
3.0
13.0
20.0
8.0
20.0
20.0
0.0
0.0
15.0
18.0
9.0
20.0
13.0
19.0
10.0
0.0
16.0
18.0
20.0
13.0
20.0
2.0
12.0
4.0
9.0
20.0
20.0
9.0
8.0
20.0
